Evolution,Iteration,Chromosome,Fitness
0,13,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,13,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,13,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,13,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,13,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100507
0,13,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,13,"[-0.95, 98.8631, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",61835
0,13,"[-0.95, -21.01, -22.22, -61.9988, 18.95, 56.1614, 0.68, 51.33, 77.79]",32300
0,13,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",31686
0,13,"[-0.95, -21.01, -22.22, -47.07, 95.6958, 81.88, -50.1336, 64.5, -15.8941]",24259
0,13,"[-0.95, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",15075
0,14,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,14,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,14,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,14,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,14,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,14,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,14,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,14,"[-0.95, 98.8631, -22.22, -47.07, 18.95, 56.1614, 7.8394, 51.33, 77.79]",100519
0,14,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",84236
0,14,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",76286
0,14,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",66615
0,14,"[-0.95, -21.01, -22.22, -91.0821, -91.603, 81.88, 47.5819, 64.5, 94.49]",66127
0,15,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,15,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,15,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,15,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,15,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,15,"[-0.95, 98.8631, -22.22, -47.07, 18.95, 56.1614, 7.8394, 51.33, 77.79]",100519
0,15,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,15,"[-0.95, 11.0137, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100502
0,15,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",38281
0,15,"[-46.0746, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",33800
0,15,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",26827
0,15,"[-46.0746, -21.01, -22.22, -47.07, -84.6, 81.88, -54.5228, 22.9834, 94.49]",24425
0,16,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,16,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,16,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,16,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,16,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,16,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,16,"[-0.95, 98.8631, -22.22, -47.07, 18.95, 98.2023, 7.8394, 51.33, 77.79]",61239
0,16,"[-36.4238, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",39528
0,16,"[-0.95, 98.8631, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",35353
0,16,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, 77.79]",32591
0,16,"[-0.95, 11.0137, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",32102
0,16,"[-0.95, 11.0137, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",31343
0,17,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,17,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,17,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,17,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,17,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,17,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,17,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",96834
0,17,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, 77.79]",87039
0,17,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",73132
0,17,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",72732
0,17,"[-0.95, -21.01, -22.22, -47.7105, 37.0817, 56.1614, 0.68, 51.33, 77.79]",42795
0,17,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",30092
